IdCliente,Nome,Sexo,Email,CPF,IdEndereco,Rua,Bairros,Cidade,Estado,Id_Cliente,IdTelefone,Tipo,Numero,Id_Cliente
1,JOAO,M,joao@gmail.com,15495875612,1,"RUA CAPITAO HERMES",CENTRO,"RIO DE JANEIRO",RJ,1,3,CELULAR,87866896,1
1,JOAO,M,joao@gmail.com,15495875612,1,"RUA CAPITAO HERMES",CENTRO,"RIO DE JANEIRO",RJ,1,5,RESIDENCIAL,99667587,1
1,JOAO,M,joao@gmail.com,15495875612,1,"RUA CAPITAO HERMES",CENTRO,"RIO DE JANEIRO",RJ,1,8,COMERCIAL,66687899,1
3,ANA,F,ana@gmail.com,59246317895,2,"RUA PRES VARGAS",JARDINS,"SAO PAULO",SP,3,6,CELULAR,78989765,3
3,ANA,F,ana@gmail.com,59246317895,2,"RUA PRES VARGAS",JARDINS,"SAO PAULO",SP,3,7,CELULAR,99766676,3
2,CARLOS,M,carlos@gmail.com,74682541268,3,"RUA ALFANDEGA",ESTACIO,"RIO DE JANEIRO",RJ,2,4,COMERCIAL,54768899,2
2,CARLOS,M,carlos@gmail.com,74682541268,3,"RUA ALFANDEGA",ESTACIO,"RIO DE JANEIRO",RJ,2,10,CELULAR,88687909,2
5,JORGE,M,jorge@gmail.com,74535614258974,5,"RUA URUGUAIANA",CENTRO,VITORIA,ES,5,1,CELULAR,78458743,5
5,JORGE,M,jorge@gmail.com,74535614258974,5,"RUA URUGUAIANA",CENTRO,VITORIA,ES,5,2,RESIDENCIAL,56576876,5
5,JORGE,M,jorge@gmail.com,74535614258974,5,"RUA URUGUAIANA",CENTRO,VITORIA,ES,5,9,RESIDENCIAL,89986668,5
